vID,sID,week,dateIN-OUT,temp,invasion,block,cageID,rep,PAL-M,PAL-F,RUB-M,RUB-F,BIR-M,PST-M,PAN-M,unID-F,Asobara,Diapriid,all-F
207,S1.1,E7.2,,HW,INVAS,B1,C-15,C,16,18,0,0,0,0,2,2,5,0,NA
208,S1.1,E7.2,,CTRL,INVAS,B1,C-16,A,6,11,0,3,0,7,0,5,14,1,NA
209,S1.1,E7.2,,CTRL,INVAS,B1,C-16,B,18,25,0,0,0,1,0,1,16,0,NA
210,S1.1,E7.2,,CTRL,INVAS,B1,C-16,C,17,20,0,0,0,10,0,8,47,0,NA
211,S1.1,E7.2,,WARM,CLOSED,B1,C-17,A,32,32,2,0,0,2,0,5,29,2,NA
212,S1.1,E7.2,,WARM,CLOSED,B1,C-17,B,34,30,0,0,0,2,0,5,29,5,NA
213,S1.1,E7.2,,WARM,CLOSED,B1,C-17,C,22,26,0,0,0,0,0,1,16,2,NA
214,S1.1,E7.2,,CTRL,INVAS,B1,C-18,A,16,12,0,0,0,0,0,1,3,0,NA
215,S1.1,E7.2,,CTRL,INVAS,B1,C-18,B,16,42,0,0,0,8,1,12,11,0,NA
216,S1.1,E7.2,,CTRL,INVAS,B1,C-18,C,5,11,0,0,0,5,1,8,26,0,NA
325,S1.2,E10.2,,WARM,INVAS,B1,C-01,A,14,20,0,0,0,2,0,0,17,2,NA
326,S1.2,E10.2,,WARM,INVAS,B1,C-01,B,15,17,0,0,0,0,0,1,24,2,NA
327,S1.2,E10.2,,WARM,INVAS,B1,C-01,C,22,12,0,0,0,1,0,1,18,3,NA
328,S1.2,E10.2,,CTRL,CLOSED,B1,C-02,A,22,23,0,0,0,0,0,3,12,0,NA
329,S1.2,E10.2,,CTRL,CLOSED,B1,C-02,B,7,20,0,0,0,1,0,1,33,2,NA
330,S1.2,E10.2,,CTRL,CLOSED,B1,C-02,C,14,11,0,0,0,1,0,1,17,0,NA
331,S1.2,E10.2,,HW,CLOSED,B1,C-03,A,5,12,0,0,0,0,0,0,24,0,NA
332,S1.2,E10.2,,HW,CLOSED,B1,C-03,B,13,23,0,0,0,1,0,0,24,0,NA
333,S1.2,E10.2,,HW,CLOSED,B1,C-03,C,12,16,0,0,0,0,0,0,5,0,NA
334,S1.2,E10.2,,WARM,INVAS,B1,C-04,A,20,21,0,0,0,0,0,0,8,2,NA
335,S1.2,E10.2,,WARM,INVAS,B1,C-04,B,14,14,0,0,0,1,0,1,17,4,NA
336,S1.2,E10.2,,WARM,INVAS,B1,C-04,C,26,16,0,0,0,1,0,2,8,10,NA
337,S1.2,E10.2,,WARM,INVAS,B1,C-05,A,25,22,0,0,0,0,0,0,16,1,NA
338,S1.2,E10.2,,WARM,INVAS,B1,C-05,B,23,24,0,0,0,0,1,0,8,1,NA
339,S1.2,E10.2,,WARM,INVAS,B1,C-05,C,19,27,0,0,0,2,2,2,13,1,NA
340,S1.2,E10.2,,HW,CLOSED,B1,C-06,A,22,31,0,0,0,0,0,0,4,0,NA
341,S1.2,E10.2,,HW,CLOSED,B1,C-06,B,22,21,1,0,0,0,0,0,9,0,NA
342,S1.2,E10.2,,HW,CLOSED,B1,C-06,C,18,26,0,0,0,0,0,0,11,0,NA
343,S1.2,E10.2,,HW,INVAS,B1,C-07,A,16,21,0,0,1,0,2,4,12,0,NA
